fecha,temp_media,humedad_media,precipitacion,riego_estimado
2025-07-08,13.1,38,0.0,3.96
2025-07-08,13.8,42,0.0,4.14
2025-07-08,13.6,47,0.0,4.15
2025-07-08,12.8,55,0.0,3.72
2025-07-08,11.8,63,0.0,3.49
2025-07-08,10.3,74,0.0,2.89
2025-07-08,8.5,87,0.0,2.05
2025-07-08,7.1,96,0.0,2.21
2025-07-08,6.4,99,0.0,1.85
2025-07-08,6.2,98,0.0,1.43
2025-07-08,6.1,95,0.0,1.68
2025-07-08,6.0,88,0.0,1.48
2025-07-09,6.0,79,0.0,2.56
2025-07-09,5.8,73,0.0,1.96
2025-07-09,5.3,73,0.0,2.13
2025-07-09,4.6,75,0.0,1.81
2025-07-09,4.1,78,0.0,2.02
2025-07-09,3.4,81,0.0,1.71
2025-07-09,2.9,83,0.0,0.98
2025-07-09,3.2,83,0.0,1.68
2025-07-09,5.2,76,0.0,2.3
2025-07-09,8.0,67,0.0,2.5
2025-07-09,10.4,59,0.0,2.96
2025-07-09,12.0,56,0.0,3.79
2025-07-09,13.1,54,0.0,3.75
2025-07-09,13.7,55,0.0,3.15
2025-07-09,13.6,57,0.0,3.49
2025-07-09,13.1,60,0.0,4.17
2025-07-09,12.2,66,0.0,3.37
2025-07-09,10.8,75,0.0,3.28
2025-07-09,9.0,87,0.0,2.56
2025-07-09,7.6,95,0.0,2.17
2025-07-09,6.8,99,0.0,1.32
2025-07-09,6.4,100,0.0,1.78
2025-07-09,6.2,99,0.0,1.44
2025-07-09,6.2,90,0.0,2.26
